algorithm,ensemble,l,delta,m,k_min,k_max,rho_w,fit_status
SIHT,gaussian,10,0.08,82,25,27,0.3330765594274895,logistic_fit
SIHT,gaussian,10,0.1,103,37,39,0.3625066210401152,logistic_fit
SIHT,gaussian,10,0.15,154,61,63,0.4052159520090612,logistic_fit
SIHT,gaussian,10,0.2,205,91,93,0.44910626981972257,logistic_fit
SIHT,gaussian,10,0.25,256,119,121,1.0,logistic_fit
SIHT,gaussian,10,0.3,308,143,145,1.0,logistic_fit
SIHT,gaussian,10,0.35,359,163,165,0.4586843044971966,logistic_fit
SIHT,gaussian,10,0.4,410,165,167,0.3995667937166102,logistic_fit
SIHT,gaussian,10,0.45,461,156,158,1.0,logistic_fit
SIHT,gaussian,10,0.5,512,159,161,0.31380404848943055,logistic_fit
SIHT,gaussian,10,0.55,564,148,150,0.26418414556548475,logistic_fit
SIHT,gaussian,10,0.6,615,133,135,0.22279454602518942,logistic_fit
SIHT,gaussian,10,0.65,666,124,126,1.0,logistic_fit
SIHT,gaussian,10,0.7,717,111,113,0.15734644981038873,logistic_fit
SIHT,gaussian,10,0.75,768,95,97,0.12893054559761782,logistic_fit
SIHT,gaussian,10,0.8,820,102,104,0.0,logistic_fit
SIHT,gaussian,10,0.85,871,108,110,0.0,logistic_fit
SIHT,gaussian,10,0.9,922,86,88,0.0,logistic_fit
SIHT,gaussian,10,0.95,973,60,62,1.0,logistic_fit
SIHT,gaussian,10,0.99,1014,63,65,0.0,logistic_fit
SNHTP,gaussian,1,0.01,11,0,2,0.0844965171439469,logistic_fit
SNHTP,gaussian,1,0.02,21,1,3,0.108359122251406,logistic_fit
SNHTP,gaussian,1,0.04,41,4,6,0.13675890046833325,logistic_fit
SNHTP,gaussian,1,0.06,62,7,9,0.1455174887875131,logistic_fit
SNHTP,gaussian,1,0.08,82,13,14,0.0,logistic_fit
SNHTP,gaussian,1,0.1,103,18,20,0.17755088846680508,logistic_fit
SNHTP,gaussian,1,0.15,154,28,30,0.19369388350023536,logistic_fit
SNHTP,gaussian,1,0.2,205,40,42,0.20911636157912947,logistic_fit
SNHTP,gaussian,1,0.25,256,55,57,0.22260656340015536,logistic_fit
SNHTP,gaussian,1,0.3,308,76,78,0.23823616059247685,logistic_fit
SNHTP,gaussian,1,0.35,359,87,89,0.24697272373357534,logistic_fit
SNHTP,gaussian,1,0.4,410,102,104,1.0,logistic_fit
SNHTP,gaussian,1,0.45,461,121,123,0.2673497773147823,logistic_fit
SNHTP,gaussian,1,0.5,512,143,145,0.28168325102826297,logistic_fit
SNHTP,gaussian,1,0.55,564,157,159,0.28374215193299374,logistic_fit
SNHTP,gaussian,1,0.6,615,181,183,0.29633406105430454,logistic_fit
SNHTP,gaussian,1,0.65,666,207,209,0.0,logistic_fit
SNHTP,gaussian,1,0.7,717,222,224,0.3152515870871675,logistic_fit
SNHTP,gaussian,1,0.75,768,263,265,0.0,logistic_fit
SNHTP,gaussian,1,0.8,820,280,282,0.343157164514454,logistic_fit
SNHTP,gaussian,1,0.85,871,311,313,0.0,logistic_fit
SNHTP,gaussian,1,0.9,922,330,332,0.35897757362809574,logistic_fit
SNHTP,gaussian,1,0.95,973,363,365,1.0,logistic_fit
SNHTP,gaussian,1,0.99,1014,394,396,0.0,logistic_fit
SNHTP,gaussian,10,0.01,11,0,2,0.08776377453920141,logistic_fit
SNHTP,gaussian,10,0.02,21,0,2,0.09519424344714912,logistic_fit
SNHTP,gaussian,10,0.04,41,11,13,0.3132661840144125,logistic_fit
SNHTP,gaussian,10,0.06,62,22,24,1.0,logistic_fit
SNHTP,gaussian,10,0.08,82,38,40,1.0,logistic_fit
SNHTP,gaussian,10,0.1,103,50,52,0.4824050301049522,logistic_fit
SNHTP,gaussian,10,0.15,154,80,82,0.5250893027422933,logistic_fit
SNHTP,gaussian,10,0.2,205,110,112,0.5215903890673753,logistic_fit
SNHTP,gaussian,10,0.25,256,134,136,1.0,logistic_fit
SNHTP,gaussian,10,0.3,308,172,174,0.0,logistic_fit
SNHTP,gaussian,10,0.35,359,197,199,0.5515449993628936,logistic_fit
SNHTP,gaussian,10,0.4,410,225,227,1.0,logistic_fit
SNHTP,gaussian,10,0.45,461,257,259,1.0,logistic_fit
SNHTP,gaussian,10,0.5,512,286,288,1.0,logistic_fit
SNHTP,gaussian,10,0.55,564,324,326,0.5747019439701061,logistic_fit
SNHTP,gaussian,10,0.6,615,353,355,0.0,logistic_fit
SNHTP,gaussian,10,0.65,666,383,385,1.0,logistic_fit
SNHTP,gaussian,10,0.7,717,423,425,0.586513570019958,logistic_fit
SNHTP,gaussian,10,0.75,768,454,456,0.5890685309491885,logistic_fit
SNHTP,gaussian,10,0.8,820,498,500,0.0,logistic_fit
SNHTP,gaussian,10,0.85,871,528,530,0.0,logistic_fit
SNHTP,gaussian,10,0.9,922,560,562,0.0,logistic_fit
SNHTP,gaussian,10,0.95,973,575,577,1.0,logistic_fit
SNHTP,gaussian,10,0.99,1014,616,618,1.0,logistic_fit
SNIHT,gaussian,1,0.01,11,0,2,0.09324849661783852,logistic_fit
SNIHT,gaussian,1,0.02,21,1,3,0.10276315158348874,logistic_fit
SNIHT,gaussian,1,0.04,41,4,6,0.12350689121663866,logistic_fit
SNIHT,gaussian,1,0.06,62,7,9,0.13545153688983316,logistic_fit
SNIHT,gaussian,1,0.08,82,10,12,1.0,logistic_fit
SNIHT,gaussian,1,0.1,103,15,17,0.16182395716817177,logistic_fit
SNIHT,gaussian,1,0.15,154,28,30,0.1868326549302556,logistic_fit
SNIHT,gaussian,1,0.2,205,43,45,0.20968508200049815,logistic_fit
SNIHT,gaussian,1,0.25,256,55,57,0.22410464955526427,logistic_fit
SNIHT,gaussian,1,0.3,308,76,78,0.24668152545324337,logistic_fit
SNIHT,gaussian,1,0.35,359,89,91,0.2472193725257373,logistic_fit
SNIHT,gaussian,1,0.4,410,102,104,0.25328566322924423,logistic_fit
SNIHT,gaussian,1,0.45,461,128,130,0.0,logistic_fit
SNIHT,gaussian,1,0.5,512,143,145,0.28392556309783834,logistic_fit
SNIHT,gaussian,1,0.55,564,140,142,1.0,logistic_fit
SNIHT,gaussian,1,0.6,615,153,155,1.0,logistic_fit
SNIHT,gaussian,1,0.65,666,166,168,0.0,logistic_fit
SNIHT,gaussian,1,0.7,717,155,157,0.0,logistic_fit
SNIHT,gaussian,1,0.75,768,143,145,0.18890892876007442,logistic_fit
SNIHT,gaussian,1,0.8,820,102,104,0.13271288797418113,logistic_fit
SNIHT,gaussian,1,0.85,871,135,137,0.15537581208322,logistic_fit
SNIHT,gaussian,1,0.9,922,115,117,0.12716729176617067,logistic_fit
SNIHT,gaussian,1,0.95,973,121,123,0.12848782724237146,logistic_fit
SNIHT,gaussian,1,0.99,1014,126,128,1.0,logistic_fit
SNIHT,gaussian,10,0.01,11,0,2,0.07137691107452795,logistic_fit
SNIHT,gaussian,10,0.02,21,2,4,0.1270301040675187,logistic_fit
SNIHT,gaussian,10,0.04,41,11,13,0.3092044485164127,logistic_fit
SNIHT,gaussian,10,0.06,62,22,24,0.38525283990158965,logistic_fit
SNIHT,gaussian,10,0.08,82,35,37,0.42106667262505687,logistic_fit
SNIHT,gaussian,10,0.1,103,43,45,0.4462871912549277,logistic_fit
SNIHT,gaussian,10,0.15,154,76,78,1.0,logistic_fit
SNIHT,gaussian,10,0.2,205,107,109,1.0,logistic_fit
SNIHT,gaussian,10,0.25,256,142,144,0.5579372596701421,logistic_fit
SNIHT,gaussian,10,0.3,308,162,164,0.5261049026187532,logistic_fit
SNIHT,gaussian,10,0.35,359,166,168,0.0,logistic_fit
SNIHT,gaussian,10,0.4,410,165,167,0.41496585306566025,logistic_fit
SNIHT,gaussian,10,0.45,461,171,173,0.0,logistic_fit
SNIHT,gaussian,10,0.5,512,159,161,1.0,logistic_fit
SNIHT,gaussian,10,0.55,564,166,168,1.0,logistic_fit
SNIHT,gaussian,10,0.6,615,153,155,0.0,logistic_fit
SNIHT,gaussian,10,0.65,666,166,168,0.24554108039442146,logistic_fit
SNIHT,gaussian,10,0.7,717,133,135,1.0,logistic_fit
SNIHT,gaussian,10,0.75,768,143,145,0.1875000051291718,logistic_fit
SNIHT,gaussian,10,0.8,820,102,104,0.12779689573130407,logistic_fit
SNIHT,gaussian,10,0.85,871,108,110,0.12438208082010675,logistic_fit
SNIHT,gaussian,10,0.9,922,143,145,0.0,logistic_fit
SNIHT,gaussian,10,0.95,973,121,123,0.1250520008814332,logistic_fit
SNIHT,gaussian,10,0.99,1014,126,128,0.0,logistic_fit
SHTP,dct,1,0.01,11,0,2,0.10505515742100263,logistic_fit
SHTP,dct,1,0.02,21,1,2,0.09523809521307815,logistic_fit
SHTP,dct,1,0.04,41,2,4,0.06663046501196378,logistic_fit
SHTP,dct,1,0.06,62,3,5,0.06451612902983243,logistic_fit
SHTP,dct,1,0.08,82,5,7,0.023489804600964333,logistic_fit
SHTP,dct,1,0.1,103,5,7,0.061723016314439154,logistic_fit
SHTP,dct,1,0.15,154,9,11,0.06789372945662449,logistic_fit
SHTP,dct,1,0.2,205,21,23,0.0,logistic_fit
SHTP,dct,1,0.25,256,39,41,0.15625000000067482,logistic_fit
SHTP,dct,1,0.3,308,52,54,1.0,logistic_fit
SHTP,dct,1,0.35,359,89,91,0.0,logistic_fit
SHTP,dct,1,0.4,410,108,110,1.0,logistic_fit
SHTP,dct,1,0.45,461,142,144,0.0,logistic_fit
SHTP,dct,1,0.5,512,159,161,1.0,logistic_fit
SHTP,dct,1,0.55,564,210,212,0.37236297825839215,logistic_fit
SHTP,dct,1,0.6,615,248,250,0.4048779638823513,logistic_fit
SHTP,dct,1,0.65,666,311,313,0.4588084219628343,logistic_fit
SHTP,dct,1,0.7,717,368,370,0.5118440060262065,logistic_fit
SHTP,dct,1,0.75,768,430,432,0.554566603287639,logistic_fit
SHTP,dct,1,0.8,820,511,513,1.0,logistic_fit
SHTP,dct,1,0.85,871,596,598,1.0,logistic_fit
SHTP,dct,1,0.9,922,747,749,1.0,logistic_fit
SHTP,dct,1,0.95,973,910,912,1.0,logistic_fit
SHTP,dct,1,0.99,1014,1012,1013,0.9990138067061144,all_success_fallback
SHTP,dct,10,0.01,11,0,2,0.10044994691501927,logistic_fit
SHTP,dct,10,0.02,21,2,3,0.12744491973094896,logistic_fit
SHTP,dct,10,0.04,41,7,9,0.18445686162510114,logistic_fit
SHTP,dct,10,0.06,62,11,13,0.15919086452036982,logistic_fit
SHTP,dct,10,0.08,82,15,17,0.2374345875642053,logistic_fit
SHTP,dct,10,0.1,103,25,27,0.0,logistic_fit
SHTP,dct,10,0.15,154,38,40,0.25342737938853743,logistic_fit
SHTP,dct,10,0.2,205,75,77,0.0,logistic_fit
SHTP,dct,10,0.25,256,95,97,0.3810104553350572,logistic_fit
SHTP,dct,10,0.3,308,153,155,0.48413983932518906,logistic_fit
SHTP,dct,10,0.35,359,178,180,1.0,logistic_fit
SHTP,dct,10,0.4,410,242,244,0.5926827670500632,logistic_fit
SHTP,dct,10,0.45,461,300,302,0.6493388858808877,logistic_fit
SHTP,dct,10,0.5,512,366,368,0.7118592480482692,logistic_fit
SHTP,dct,10,0.55,564,421,423,1.0,logistic_fit
SHTP,dct,10,0.6,615,487,489,1.0,logistic_fit
SHTP,dct,10,0.65,666,560,562,0.8400412896081597,logistic_fit
SHTP,dct,10,0.7,717,636,638,0.8811203492965861,logistic_fit
SHTP,dct,10,0.75,768,694,696,1.0,logistic_fit
SHTP,dct,10,0.8,820,792,794,0.9773684643901923,logistic_fit
SHTP,dct,10,0.85,871,869,870,1.0,logistic_fit
SHTP,dct,10,0.9,922,920,921,1.0,logistic_fit
SHTP,dct,10,0.95,973,971,972,1.0,logistic_fit
SHTP,dct,10,0.99,1014,1012,1013,0.9990138067061144,all_success_fallback
SIHT,dct,1,0.01,11,0,2,0.045722175735816474,logistic_fit
SIHT,dct,1,0.02,21,1,2,0.08970944742492751,logistic_fit
SIHT,dct,1,0.04,41,3,4,0.07317073195255099,logistic_fit
SIHT,dct,1,0.06,62,3,5,0.06290291624207525,logistic_fit
SIHT,dct,1,0.08,82,4,6,0.052795325160740786,logistic_fit
SIHT,dct,1,0.1,103,6,8,0.0598904501382193,logistic_fit
SIHT,dct,1,0.15,154,9,11,0.06052118955994906,logistic_fit
SIHT,dct,1,0.2,205,18,20,0.08934293486468908,logistic_fit
SIHT,dct,1,0.25,256,23,25,0.09784119254273363,logistic_fit
SIHT,dct,1,0.3,308,38,40,0.12564645207473565,logistic_fit
SIHT,dct,1,0.35,359,55,57,0.15873894211876116,logistic_fit
SIHT,dct,1,0.4,410,82,84,1.0,logistic_fit
SIHT,dct,1,0.45,461,92,94,1.0,logistic_fit
SIHT,dct,1,0.5,512,95,97,1.0,logistic_fit
SIHT,dct,1,0.55,564,105,107,1.0,logistic_fit
SIHT,dct,1,0.6,615,114,116,1.0,logistic_fit
SIHT,dct,1,0.65,666,124,126,0.18869018751105368,logistic_fit
SIHT,dct,1,0.7,717,133,135,0.18455147836500072,logistic_fit
SIHT,dct,1,0.75,768,191,193,0.24241975275544225,logistic_fit
SIHT,dct,1,0.8,820,204,206,0.24544197967974082,logistic_fit
SIHT,dct,1,0.85,871,217,219,0.24780511088956222,logistic_fit
SIHT,dct,1,0.9,922,230,232,0.0,logistic_fit
SIHT,dct,1,0.95,973,242,244,1.0,logistic_fit
SIHT,dct,1,0.99,1014,253,255,1.0,logistic_fit
SIHT,dct,10,0.01,11,0,2,0.045722175735816474,logistic_fit
SIHT,dct,10,0.02,21,1,2,0.0819856008453372,logistic_fit
SIHT,dct,10,0.04,41,4,6,0.1532718245232347,logistic_fit
SIHT,dct,10,0.06,62,11,13,0.12684049915640197,logistic_fit
SIHT,dct,10,0.08,82,15,17,0.0,logistic_fit
SIHT,dct,10,0.1,103,18,20,1.0,logistic_fit
SIHT,dct,10,0.15,154,35,37,0.2336238737337668,logistic_fit
SIHT,dct,10,0.2,205,50,52,1.0,logistic_fit
SIHT,dct,10,0.25,256,79,81,0.0,logistic_fit
SIHT,dct,10,0.3,308,90,92,0.2879035365794423,logistic_fit
SIHT,dct,10,0.35,359,89,91,0.25737243413171024,logistic_fit
SIHT,dct,10,0.4,410,102,104,0.24444600684449797,logistic_fit
SIHT,dct,10,0.45,461,99,101,0.21934791025071962,logistic_fit
SIHT,dct,10,0.5,512,95,97,0.19427699244962984,logistic_fit
SIHT,dct,10,0.55,564,105,107,0.1878248335365054,logistic_fit
SIHT,dct,10,0.6,615,114,116,0.18553808259257173,logistic_fit
SIHT,dct,10,0.65,666,124,126,0.0,logistic_fit
SIHT,dct,10,0.7,717,133,135,0.18595862265818128,logistic_fit
SIHT,dct,10,0.75,768,143,145,0.18412098864335194,logistic_fit
SIHT,dct,10,0.8,820,178,180,0.0,logistic_fit
SIHT,dct,10,0.85,871,217,219,0.0,logistic_fit
SIHT,dct,10,0.9,922,230,232,0.0,logistic_fit
SIHT,dct,10,0.95,973,242,244,0.25039063684890156,logistic_fit
SIHT,dct,10,0.99,1014,316,318,0.31328172151229494,logistic_fit
SNHTP,dct,1,0.01,11,1,2,0.13640662483152985,logistic_fit
SNHTP,dct,1,0.02,21,1,3,0.09354202407529921,logistic_fit
SNHTP,dct,1,0.04,41,2,4,0.06684568937850921,logistic_fit
SNHTP,dct,1,0.06,62,3,5,0.06869874108101852,logistic_fit
SNHTP,dct,1,0.08,82,3,5,0.0607602575986737,logistic_fit
SNHTP,dct,1,0.1,103,6,8,0.055220591203456355,logistic_fit
SNHTP,dct,1,0.15,154,9,11,1.0,logistic_fit
SNHTP,dct,1,0.2,205,25,27,0.12348929833378355,logistic_fit
SNHTP,dct,1,0.25,256,39,41,0.15625008947970234,logistic_fit
SNHTP,dct,1,0.3,308,57,59,0.19625897384460236,logistic_fit
SNHTP,dct,1,0.35,359,89,91,0.0,logistic_fit
SNHTP,dct,1,0.4,410,102,104,0.25166935369696725,logistic_fit
SNHTP,dct,1,0.45,461,128,130,1.0,logistic_fit
SNHTP,dct,1,0.5,512,159,161,0.3238755944978295,logistic_fit
SNHTP,dct,1,0.55,564,210,212,0.3729296717743172,logistic_fit
SNHTP,dct,1,0.6,615,248,250,1.0,logistic_fit
SNHTP,dct,1,0.65,666,290,292,0.44083346276391094,logistic_fit
SNHTP,dct,1,0.7,717,357,359,1.0,logistic_fit
SNHTP,dct,1,0.75,768,430,432,0.5604444500355071,logistic_fit
SNHTP,dct,1,0.8,820,511,513,0.0,logistic_fit
SNHTP,dct,1,0.85,871,569,571,1.0,logistic_fit
SNHTP,dct,1,0.9,922,690,692,1.0,logistic_fit
SNHTP,dct,1,0.95,973,910,912,1.0,logistic_fit
SNHTP,dct,1,0.99,1014,1012,1013,0.9990138067061144,all_success_fallback
SNHTP,dct,10,0.01,11,0,2,0.09744700211483251,logistic_fit
SNHTP,dct,10,0.02,21,2,4,0.13912441709403395,logistic_fit
SNHTP,dct,10,0.04,41,4,6,0.17808691692066622,logistic_fit
SNHTP,dct,10,0.06,62,11,13,0.1877827280192653,logistic_fit
SNHTP,dct,10,0.08,82,15,17,0.1798993765009787,logistic_fit
SNHTP,dct,10,0.1,103,18,20,1.0,logistic_fit
SNHTP,dct,10,0.15,154,38,40,0.274282228251458,logistic_fit
SNHTP,dct,10,0.2,205,75,77,0.36272320833577,logistic_fit
SNHTP,dct,10,0.25,256,95,97,0.38061700035409457,logistic_fit
SNHTP,dct,10,0.3,308,143,145,0.46539372163848997,logistic_fit
SNHTP,dct,10,0.35,359,222,224,1.0,logistic_fit
SNHTP,dct,10,0.4,410,299,301,0.0,logistic_fit
SNHTP,dct,10,0.45,461,358,360,0.774627681874981,logistic_fit
SNHTP,dct,10,0.5,512,414,416,0.0,logistic_fit
SNHTP,dct,10,0.55,564,473,475,0.8370860351920754,logistic_fit
SNHTP,dct,10,0.6,615,536,538,0.873148389467711,logistic_fit
SNHTP,dct,10,0.65,666,601,603,0.9003297129724694,logistic_fit
SNHTP,dct,10,0.7,717,670,672,0.9320547385431602,logistic_fit
SNHTP,dct,10,0.75,768,730,732,1.0,logistic_fit
SNHTP,dct,10,0.8,820,792,794,1.0,logistic_fit
SNHTP,dct,10,0.85,871,869,870,1.0,logistic_fit
SNHTP,dct,10,0.9,922,920,921,1.0,logistic_fit
SNHTP,dct,10,0.95,973,971,972,1.0,logistic_fit
SNHTP,dct,10,0.99,1014,1012,1013,0.9990138067061144,all_success_fallback
SNIHT,dct,1,0.01,11,0,2,0.1364062627185098,logistic_fit
SNIHT,dct,1,0.02,21,1,3,0.10847399603406434,logistic_fit
SNIHT,dct,1,0.04,41,5,6,0.13414634146329354,logistic_fit
SNIHT,dct,1,0.06,62,7,9,0.15907353949059316,logistic_fit
SNIHT,dct,1,0.08,82,12,14,0.16660755033031371,logistic_fit
SNIHT,dct,1,0.1,103,18,20,0.17115734326712584,logistic_fit
SNIHT,dct,1,0.15,154,33,35,0.0,logistic_fit
SNIHT,dct,1,0.2,205,50,52,0.0,logistic_fit
SNIHT,dct,1,0.25,256,63,65,0.25535114110715296,logistic_fit
SNIHT,dct,1,0.3,308,85,87,1.0,logistic_fit
SNIHT,dct,1,0.35,359,100,102,1.0,logistic_fit
SNIHT,dct,1,0.4,410,127,129,0.31056666671606376,logistic_fit
SNIHT,dct,1,0.45,461,142,144,0.0,logistic_fit
SNIHT,dct,1,0.5,512,159,161,0.31183009549248697,logistic_fit
SNIHT,dct,1,0.55,564,175,177,0.0,logistic_fit
SNIHT,dct,1,0.6,615,191,193,0.31328075592894883,logistic_fit
SNIHT,dct,1,0.65,666,207,209,0.3114546238160938,logistic_fit
SNIHT,dct,1,0.7,717,267,269,0.0,logistic_fit
SNIHT,dct,1,0.75,768,191,193,1.0,logistic_fit
SNIHT,dct,1,0.8,820,306,308,0.0,logistic_fit
SNIHT,dct,1,0.85,871,325,327,0.37377197265405354,logistic_fit
SNIHT,dct,1,0.9,922,345,347,0.3778179341817506,logistic_fit
SNIHT,dct,1,0.95,973,363,365,0.37789256056471315,logistic_fit
SNIHT,dct,1,0.99,1014,506,508,1.0,logistic_fit
SNIHT,dct,10,0.01,11,1,2,0.13636363640499508,logistic_fit
SNIHT,dct,10,0.02,21,4,6,0.23677077138159422,logistic_fit
SNIHT,dct,10,0.04,41,14,16,0.3627074888831605,logistic_fit
SNIHT,dct,10,0.06,62,26,28,1.0,logistic_fit
SNIHT,dct,10,0.08,82,40,42,0.0,logistic_fit
SNIHT,dct,10,0.1,103,50,52,1.0,logistic_fit
SNIHT,dct,10,0.15,154,71,73,0.4676636010528723,logistic_fit
SNIHT,dct,10,0.2,205,88,90,0.0,logistic_fit
SNIHT,dct,10,0.25,256,95,97,0.3803545750763486,logistic_fit
SNIHT,dct,10,0.3,308,104,106,0.3441145459893858,logistic_fit
SNIHT,dct,10,0.35,359,122,124,0.0,logistic_fit
SNIHT,dct,10,0.4,410,127,129,1.0,logistic_fit
SNIHT,dct,10,0.45,461,142,144,0.3017128090496711,logistic_fit
SNIHT,dct,10,0.5,512,159,161,0.30743146953987993,logistic_fit
SNIHT,dct,10,0.55,564,175,177,0.3107791723892939,logistic_fit
SNIHT,dct,10,0.6,615,191,193,0.0,logistic_fit
SNIHT,dct,10,0.65,666,207,209,1.0,logistic_fit
SNIHT,dct,10,0.7,717,222,224,0.31009315621559885,logistic_fit
SNIHT,dct,10,0.75,768,239,241,0.312536202588307,logistic_fit
SNIHT,dct,10,0.8,820,204,206,1.0,logistic_fit
SNIHT,dct,10,0.85,871,217,219,0.25477659048810936,logistic_fit
SNIHT,dct,10,0.9,922,402,404,0.435733609959251,logistic_fit
SNIHT,dct,10,0.95,973,485,487,1.0,logistic_fit
SNIHT,dct,10,0.99,1014,506,508,0.0,logistic_fit
